unit,department_name,department_description,department_category,unit_description
658,CPD-Other,Other Police,CPD,CPD - Other Police
676,CPD-Other,Other Police,CPD,CPD - Other Police
693,CPD-Other,Other Police,CPD,CPD - Other Police
694,Miscellaneous,Kennedy-King College,Miscellaneous/Other,Miscellaneous/Other - Kennedy-King College
701,CPD,Mass Transit,CPD,CPD - Mass Transit
702,CPD-Other,CTA Security,CPD,CPD - CTA Security
703,CPD,Meigs Field (Summer Mobile),CPD,CPD - Meigs Field (Summer Mobile)
704,CPD-Other,Other Police,CPD,CPD - Other Police
705,CPD-Other,Other Police,CPD,CPD - Other Police
707,CPD-Other,Other Police,CPD,CPD - Other Police
711,CPD-Other,Other Police,CPD,CPD - Other Police
712,CPD-Other,Office of 1st Deputy Superintendent,CPD,CPD - Office of 1st Deputy Superintendent
713,CPD-Other,Other Police,CPD,CPD - Other Police
714,CPD-Other,Summer Bike Patrol,CPD,CPD - Summer Bike Patrol
715,CPD,Taylor,CPD,CPD - Taylor
717,CPD-Other,Other Police,CPD,CPD - Other Police
724,CPD-Other,Other Police,CPD,CPD - Other Police
728,Miscellaneous,"LAZ Parking Chicago, LLC",LAZ,"LAZ - LAZ Parking Chicago, LLC"
729,Miscellaneous,CPM,Chicago Parking Meter,Chicago Parking Meter - CPM
731,CPD-Other,Other Police,CPD,CPD - Other Police
734,CPD-Other,Other Police,CPD,CPD - Other Police
749,CPD-Other,Other Police,CPD,CPD - Other Police
752,CPD-Other,Other Police,CPD,CPD - Other Police
755,CPD-Other,Other Police,CPD,CPD - Other Police
765,CPD,P. Housing Horner Station,CPD,CPD - P. Housing Horner Station
777,CPD-Other,Other Police,CPD,CPD - Other Police
789,CPD-Other,Other Police,CPD,CPD - Other Police
792,Miscellaneous,Cook County Sheriff,Miscellaneous/Other,Miscellaneous/Other - Cook County Sheriff
802,CPD-Other,Other Police,CPD,CPD - Other Police
804,CPD-Other,Other Police,CPD,CPD - Other Police
812,CPD-Other,Other Police,CPD,CPD - Other Police
813,CPD-Other,Other Police,CPD,CPD - Other Police
814,CPD-Other,Other Police,CPD,CPD - Other Police
824,CPD-Other,Other Police,CPD,CPD - Other Police
825,CPD-Other,Other Police,CPD,CPD - Other Police
827,CPD-Other,Other Police,CPD,CPD - Other Police
828,CPD-Other,Other Police,CPD,CPD - Other Police
829,CPD-Other,Other Police,CPD,CPD - Other Police
832,CPD-Other,Other Police,CPD,CPD - Other Police
833,CPD-Other,Other Police,CPD,CPD - Other Police
834,CPD-Other,Other Police,CPD,CPD - Other Police
835,CPD-Other,Other Police,CPD,CPD - Other Police
836,CPD-Other,Other Police,CPD,CPD - Other Police
838,CPD-Other,Other Police,CPD,CPD - Other Police
857,CPD-Other,Other Police,CPD,CPD - Other Police
859,CPD-Other,Other Police,CPD,CPD - Other Police
860,CPD-Other,Other Police,CPD,CPD - Other Police
861,CPD-Other,Other Police,CPD,CPD - Other Police
862,Miscellaneous,University of Chicago,Miscellaneous/Other,Miscellaneous/Other - University of Chicago
870,Miscellaneous,Chicago Park District,Miscellaneous/Other,Miscellaneous/Other - Chicago Park District
892,Miscellaneous,St Xavier University,Miscellaneous/Other,Miscellaneous/Other - St Xavier University
896,CPD-Other,Other Police,CPD,CPD - Other Police
899,Miscellaneous,McCormick Place,Miscellaneous/Other,Miscellaneous/Other - McCormick Place
